明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
古丽拜尔婶婶笑容可掬地给我们斟上奶茶，阿伊霞姐姐给我拿来馓子，阿吉让我先尝尝无花果……	Hard 28 30 馓子
迷人的张家界，名副其实的人间仙镜。	Complex 7 11 名副其实
但我所流落的岛上，没有我的非洲看到的那种野兽。	Complex 3 5 流落
可惜它们并不真正存在，当彩虹悄然隐去，海市无声消失的时候，人们仍然只能依靠自己的双脚走出戈壁，去寻找活水和黑土，寻找蔚蓝色的大海和坚实的船帆。	Complex 58 60 蔚蓝
至于视觉经验，也都表现得很有动感：写荷花迎风则“红披绿偃，摇荡葳蕤”，写微风拂水则“细生鳞甲”，写流萤则“（幽火）班班，若骇若惊，奄忽去来”，写山则“森森欲下搏人”。	Hard 54 59 幽火）班班
忽然，我看到一个衣衫褴褛的中年人疲软地靠在一堵墙上，他的眼睛闭着，黧黑的脸扭曲如一截枯根，不知在忍受什么。	Hard 33 35 黧黑
理智上，我知道我的头发不比使用香波前干净多少——尘土能到哪里去？——	Hard 15 17 香波
不料叫圩子上一个万员外看中了，死逼着龙家父子连夜替他赶造一条大船，准备把当地粮米都搜刮起来，到合浦去换珠子，好献给皇帝买官做。	Hard 3 5 圩子
这是一种终身受益的教训。	Complex 4 8 终身受益
痛苦的呼号的回声在我心中回荡，饥饿的儿童，被压迫者折磨的受害者，被儿女视为负担的无助的老人，以及充满孤寂、贫穷和痛苦的整个世界，都是对人类应有生活的嘲讽。	Complex 74 76 嘲讽
小路两边是松林，军汉实在走不动了，都放下担子，到树荫下躺倒休息。	Complex 24 26 树荫
在安造垸，他们救出了被洪水围困了三天三夜的幼儿园老师周运兰；在簰州湾，他们给攀上树梢等待了近九个小时的小江珊以生的希望……	Hard 31 34 簰州湾
喜鹊多是成双成对，而灰喜鹊则成帮成伙，一来就是一大群，它们高高地在树枝上跳来跳去，飞来飞去，叫来叫去，非常活跃，为这座学府式的大庭院带来了一派生机和欢快。	Complex 14 18 成帮成伙
这一道工序技术难度很高，窑内温度始终要保持在800℃～940℃，才能使陶俑各部分受热均匀，烧出后“视之色如青石，扣之声如磬玉”。	Hard 56 62 扣之声如磬玉
开船以后，水路中的风景，盒子里的点心，以及到了东关的五猖会的热闹，对于我似乎都没有什么大意思。	Hard 26 29 五猖会
然而，从哥白尼③时代开始，我们就被降级为绕着一颗非常平凡的恒星公转的一颗行星，而该恒星又是绕着我们看得见的不过是一千亿个星系中的一个典型星系的外边缘公转。	Hard 31 33 公转
又转回头来望着女儿，说道：“我早上拿了钱来，你那该死行瘟的兄弟还不肯，我说：‘姑老爷今非昔比，少不得有人把银子送上门来给他用，只怕姑老爷还不稀罕。’	Hard 26 28 行瘟
有一次，我把只黄蜂放进一个蛛网中，但当蜘蛛照常出门来捕食时，先是观察一下来的是个什么样的敌人，根据量力的原则，制伏不了的对手，它立刻主动上去解除紧紧束缚对手的丝线，以放走这样一个强大的敌人。	Complex 49 51 量力
这时候上来一道汤，汤里的冬笋、蘑菇、荸荠等拼成各种图案，简直就是精美的工艺品。	Hard 18 20 荸荠
弯下身去用纯白的云潮来洗手洗脚，又走到云潮没胸处做双臂划水的动作。	Complex 8 10 云潮
全裸的笔尖，旋拧的笔帽。	Complex 0 2 全裸
有一次武委会训练村干部，恰巧小二黑发疟疾没有去。	Hard 18 20 疟疾
还请了一个细娃当裁判。	Hard 5 7 细娃
把自己想象为仙女是女孩子的虚荣心。	Complex 13 16 虚荣心
怀疑不仅是消极方面辨伪去妄的必需步骤，也是积极方面建设新学说、启迪新发明的基本条件。	Complex 31 33 启迪
